Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
sweet,pose,a sweetheart,"an icecream sundae, a sundae, a dessert, a treat, icecream, a paradise, a smorgasbord, a pleasure, a sweet tale, the sweet nectar, an ice cream, an ice cream shop, a frill, a milkshake, a sweet thing, a banana split, diabetes","of whipped cream, for food lovers, of ice cream, to decadence, of nectar, from the fridge, from the refrigerator, of vanilla ice cream, of vanilla frozen yogurt, of icecream, in a sweet shop, of delights, of goodies, full of treats, of chocolate milk, of earthly delights, of cream, at the ice cream parlor, promoting American values, to the fridge",enticing,"sweet a sweetheart an icecream sundae, a sundae, a dessert, a treat, icecream, a paradise, a smorgasbord, a pleasure, a sweet tale, the sweet nectar, an ice cream, an ice cream shop, a frill, a milkshake, a sweet thing, a banana split, diabetes of whipped cream, for food lovers, of ice cream, to decadence, of nectar, from the fridge, from the refrigerator, of vanilla ice cream, of vanilla frozen yogurt, of icecream, in a sweet shop, of delights, of goodies, full of treats, of chocolate milk, of earthly delights, of cream, at the ice cream parlor, promoting American values, to the fridge"
feeding,pose,"a nurterer, a carer, female:a mother, female:a mommy, a babysitter, female:a maiden, female:a nanny, female:a midwife, a parent, a care giver","a bottle, a baby, an infant, a new father, female:a new mother","for the family, with a newborn, with a toddler, of milk, of warm milk, full of sour milk, of steamed milk, of lukewarm milk, at the breast, adopting children, looking after children, raising new-age children, raising a family",regaining consciousness,"feeding a nurterer, a carer, female:a mother, female:a mommy, a babysitter, female:a maiden, female:a nanny, female:a midwife, a parent, a care giver a bottle, a baby, an infant, a new father, female:a new mother for the family, with a newborn, with a toddler, of milk, of warm milk, full of sour milk, of steamed milk, of lukewarm milk, at the breast, adopting children, looking after children, raising new-age children, raising a family"
freeing,pose,a liberator,a key,"of freedom, of liberty, of personal freedom, to personal freedom, to personal liberty","chained, imprisoned","freeing a liberator a key of freedom, of liberty, of personal freedom, to personal freedom, to personal liberty"
guiding,pose,"a guide, an essential guide, a steward, a tour guide","an umbrella, a grand tour",leading tour groups,dispatched,"guiding a guide, an essential guide, a steward, a tour guide an umbrella, a grand tour leading tour groups"
handshaking,pose,,"a handshake, a hand shake, a wet handshake","for peace, of peace",shaking hands,"handshaking  a handshake, a hand shake, a wet handshake for peace, of peace"
shaking hands,pose,,"a handshake, a hand shake","for peace, of peace",handshaking,"shaking hands  a handshake, a hand shake for peace, of peace"
high fiving,pose,"a friend, an old friend","a high five, a greeting, a wave, a welcome sign","of confidence, full of friends, of amiable disposition, promoting pacifism","greeting, indicating, charming","high fiving a friend, an old friend a high five, a greeting, a wave, a welcome sign of confidence, full of friends, of amiable disposition, promoting pacifism"
inspired,pose,"a genius, a whizz, a whiz, a true genius, a visionary, a visionary genius, a thought leader","an idea, a vision, a visionary glimpse, a giant leap, the idea, a clever play, a puzzle fiend, a puzzle lover, a puzzle master, a dynamic vision, imagination, awareness","with unmatched intuition, for the intellect, to higher consciousness, of the imagination, of hope, of common sense, of new ideas, of psychological insight, of problem solving, of imagination, of new possibilities, with a dream, of insight, of brain power, of revelation, with a puzzle lover, from a puzzle lover, with a puzzle master, to a puzzle master, of intelligence, of enlightenment, of original ideas, of vision, of advanced ideas, of deep insight, of true genius, with big ideas, of original mind, postulating bizarre theories, promoting enlightenment, to imagine","impressed, high fiving","inspired a genius, a whizz, a whiz, a true genius, a visionary, a visionary genius, a thought leader an idea, a vision, a visionary glimpse, a giant leap, the idea, a clever play, a puzzle fiend, a puzzle lover, a puzzle master, a dynamic vision, imagination, awareness with unmatched intuition, for the intellect, to higher consciousness, of the imagination, of hope, of common sense, of new ideas, of psychological insight, of problem solving, of imagination, of new possibilities, with a dream, of insight, of brain power, of revelation, with a puzzle lover, from a puzzle lover, with a puzzle master, to a puzzle master, of intelligence, of enlightenment, of original ideas, of vision, of advanced ideas, of deep insight, of true genius, with big ideas, of original mind, postulating bizarre theories, promoting enlightenment, to imagine"
inspiring,pose,"an inspiration, a visionary, a guru, a shining example, a beacon, a shining light, a muse, a creative muse, a true visionary, a thought leader, a leading light","an idea, a revelation, an illumination, the idea, a shining message, a dynamic vision","for the imagination, of inspiration, of imagination, of originality, for ideas, of intellectual discovery, of insights, of brain power, of brain cells, of extraordinary intelligence, of rare genius, of great genius, with great imagination, of advanced ideas, with big ideas, of obvious intelligence, of original mind, for clear thinking, developing crazy schemes","indicating, impressed, praising","inspiring an inspiration, a visionary, a guru, a shining example, a beacon, a shining light, a muse, a creative muse, a true visionary, a thought leader, a leading light an idea, a revelation, an illumination, the idea, a shining message, a dynamic vision for the imagination, of inspiration, of imagination, of originality, for ideas, of intellectual discovery, of insights, of brain power, of brain cells, of extraordinary intelligence, of rare genius, of great genius, with great imagination, of advanced ideas, with big ideas, of obvious intelligence, of original mind, for clear thinking, developing crazy schemes"
introducing flipped,pose,"a middleman, an intermediary, a middle man",an introduction,"of good manners, of polished manners, of fine manners","greeting, charming, massaging","introducing flipped a middleman, an intermediary, a middle man an introduction of good manners, of polished manners, of fine manners"
introducing,pose,a middleman,"an introduction, a crossing guard","of good manners, of polished manners, of fine manners","greeting, charming, massaging","introducing a middleman an introduction, a crossing guard of good manners, of polished manners, of fine manners"
joy,pose,a delight,"a joy, a celebration, a thrill, an orgasm, a whoop, fun,  a manic depressive, joy","of bliss, to success, of excitement, to inner peace, of gratitude, for inner peace, of rejoicing, of joy, filled with joy, of intense pleasure, of inner transformation, of orgasms, of delight, filled with fun, of ecstasy, of happiness, of excessive optimism, of pure pleasure, of egg nog, of holiday cheer, of good cheer, of pure delight, of euphoria, of unabashed enjoyment, for having fun, of pure joy, of joyous celebration, full of joy, of great joy, filled with life, of boundless energy, of exuberant fancy, of uncommon vitality, filled with happiness, of bingo, of Bingo","embracing, shaking hands","joy a delight a joy, a celebration, a thrill, an orgasm, a whoop, fun,  a manic depressive, joy of bliss, to success, of excitement, to inner peace, of gratitude, for inner peace, of rejoicing, of joy, filled with joy, of intense pleasure, of inner transformation, of orgasms, of delight, filled with fun, of ecstasy, of happiness, of excessive optimism, of pure pleasure, of egg nog, of holiday cheer, of good cheer, of pure delight, of euphoria, of unabashed enjoyment, for having fun, of pure joy, of joyous celebration, full of joy, of great joy, filled with life, of boundless energy, of exuberant fancy, of uncommon vitality, filled with happiness, of bingo, of Bingo"
kissing,pose,"a romantic, female:a bride","a kiss, a smooch, a wet kiss, sex","for lovers, of romance, with benefits, kissing a baby, of spin the bottle, of a kisser",embracing,"kissing a romantic, female:a bride a kiss, a smooch, a wet kiss, sex for lovers, of romance, with benefits, kissing a baby, of spin the bottle, of a kisser"
listening,pose,"a listener, an undercover cop, a mole, an inside man","an echo, a wiretap","bugging political rivals, ordering wire-taps",questioning,"listening a listener, an undercover cop, a mole, an inside man an echo, a wiretap bugging political rivals, ordering wire-taps"
loving,pose,"a lover, a romantic, a true romantic","love, a heart, a love, a universal symbol, a heart open, an open heart,  romance","at heart, of love, with a heart, in the heart, for lovers, in love, to love, of romance, to the human heart, from the heart, filled with love, for true love, from a lover, with a pacemaker, of true love, of unconditional love, of everlasting love, for everlasting love, of heartfelt adoration, full of love, of lasting love, falling in love, promoting liberal values, promoting world peace",charmed,"loving a lover, a romantic, a true romantic love, a heart, a love, a universal symbol, a heart open, an open heart,  romance at heart, of love, with a heart, in the heart, for lovers, in love, to love, of romance, to the human heart, from the heart, filled with love, for true love, from a lover, with a pacemaker, of true love, of unconditional love, of everlasting love, for everlasting love, of heartfelt adoration, full of love, of lasting love, falling in love, promoting liberal values, promoting world peace"
massaging,pose,"a massuer, female:a masseuse","a massage, a welcome bit","of exceptional hospitality, to the chiropractor, of phrenology, of pat a cake","embracing, posing","massaging a massuer, female:a masseuse a massage, a welcome bit of exceptional hospitality, to the chiropractor, of phrenology, of pat a cake"
opening box,pose,a collector,"a box, a gift box, a treasure box, a jewel box, a jewel case, a mystery box, Pandora's box, a tabernacle, a treasure chest, a treasure house, a small box, positivecontainer","female:of Pandora's box, delivered by hand, with a gift, in a jewel box, in a gift box, in a treasure box, in a cardboard bank, collecting treasures","impressed, questioning","opening box a collector a box, a gift box, a treasure box, a jewel box, a jewel case, a mystery box, Pandora's box, a tabernacle, a treasure chest, a treasure house, a small box, positivecontainer female:of Pandora's box, delivered by hand, with a gift, in a jewel box, in a gift box, in a treasure box, in a cardboard bank, collecting treasures"
painting,pose,"a painter, an artist, a true artist, a forger, a real artist","a painting, a masterpiece, a portrait, a picture, the art, a vintage work, an absolute work, a true piece, an original piece, an illustration, a valuable piece, a shimmering work, an abstract work, a classic piece, a revolutionary work, a masterpiece work, an epic work, a master piece, an immortal work, a grand work, an original work, a collage, a minor work, a shining portrait, a work, a gallery, a portrait painter, a true master, a canvas, art","for art lovers, to artists everywhere, to surrealism, for artists, of art, of visual poetry, without a painter, of artistic expression, with a paintbrush, of the original, of colors, of contemporary art, for creating art, in the arts, for painting, of the art, of fine art, of artistic treasures, hanging in the Louvre, hanging on the wall, with a true master, to a true master, dedicated to art, challenging artistic norms, drawing political cartoons, drawing whimsical cartoons, forging art, making modern art, making subversive art, painting abstract paintings, painting abstract pictures, painting colorful pictures, painting dark pictures, painting magazine covers, painting over photographs, painting realistic pictures, painting surreal pictures, studying icons, in a still life, painting melancholy pictures, painting folksy pictures","posing, nude, confident","painting a painter, an artist, a true artist, a forger, a real artist a painting, a masterpiece, a portrait, a picture, the art, a vintage work, an absolute work, a true piece, an original piece, an illustration, a valuable piece, a shimmering work, an abstract work, a classic piece, a revolutionary work, a masterpiece work, an epic work, a master piece, an immortal work, a grand work, an original work, a collage, a minor work, a shining portrait, a work, a gallery, a portrait painter, a true master, a canvas, art for art lovers, to artists everywhere, to surrealism, for artists, of art, of visual poetry, without a painter, of artistic expression, with a paintbrush, of the original, of colors, of contemporary art, for creating art, in the arts, for painting, of the art, of fine art, of artistic treasures, hanging in the Louvre, hanging on the wall, with a true master, to a true master, dedicated to art, challenging artistic norms, drawing political cartoons, drawing whimsical cartoons, forging art, making modern art, making subversive art, painting abstract paintings, painting abstract pictures, painting colorful pictures, painting dark pictures, painting magazine covers, painting over photographs, painting realistic pictures, painting surreal pictures, studying icons, in a still life, painting melancholy pictures, painting folksy pictures"
photographing,pose,"a photographer, a paparazzo","a camera, a picture, a photo, a photo machine, a picture taken, a photo album, a documentary, a photograph, a snapshot, a passport photo, a mug shot, a true picture, an objective picture, a photo opportunity, a Kodak moment","for international stars, from a photograph, without a lens, in a photo booth, for photographers, holding a camera, for the camera, making documentaries, making provocative documentaries, running a media empire","posing, nude, confident","photographing a photographer, a paparazzo a camera, a picture, a photo, a photo machine, a picture taken, a photo album, a documentary, a photograph, a snapshot, a passport photo, a mug shot, a true picture, an objective picture, a photo opportunity, a Kodak moment for international stars, from a photograph, without a lens, in a photo booth, for photographers, holding a camera, for the camera, making documentaries, making provocative documentaries, running a media empire"
pitching,pose,"a pitcher, a bowler, a baseball player","a baseball, a pitch, a curve ball, a softball game","from a catapult, from a slingshot, full of baseball cards, playing baseball",batting,"pitching a pitcher, a bowler, a baseball player a baseball, a pitch, a curve ball, a softball game from a catapult, from a slingshot, full of baseball cards, playing baseball"
batting,pose,"a batter, a batsman, a baseball player, a star player","a baseball bat, a stick, a homerun, a sharp stake, a baseball cap, a home run, a softball game, a baseball game","of Fantasy Baseball, in a baseball cap, on a stick, from a baseball bat, full of baseball cards, hitting home runs, playing baseball, full of hammer handles, of stick ball",pitching,"batting a batter, a batsman, a baseball player, a star player a baseball bat, a stick, a homerun, a sharp stake, a baseball cap, a home run, a softball game, a baseball game of Fantasy Baseball, in a baseball cap, on a stick, from a baseball bat, full of baseball cards, hitting home runs, playing baseball, full of hammer handles, of stick ball"
biting flower,pose,"a poseur, a Latin lover, a lounge lizard, a lothario, a gigolo, a lady's man","a flower, a rose, a carnation","doing the Charleston, enjoying ball-room dancing, enjoying salsa dancing, dancing to disco music",holding flower,"biting flower a poseur, a Latin lover, a lounge lizard, a lothario, a gigolo, a lady's man a flower, a rose, a carnation doing the Charleston, enjoying ball-room dancing, enjoying salsa dancing, dancing to disco music"
praising,pose,"a flatterer, a fan, a supporter, a groupie, a cheerleader, a follower, an admirer, a cheer leader","praise, an affirmation, a tribute, a compliment, a cheer, a goodie, a sycophant contest,  kudos, joy","of good news, of critical acclaim, in positive thinking, of enthusiasm, of critical praise, of applause, currying favour, to thank","high fiving, charming, indicating","praising a flatterer, a fan, a supporter, a groupie, a cheerleader, a follower, an admirer, a cheer leader praise, an affirmation, a tribute, a compliment, a cheer, a goodie, a sycophant contest,  kudos, joy of good news, of critical acclaim, in positive thinking, of enthusiasm, of critical praise, of applause, currying favour, to thank"
promoting,pose,"a supporter, a patron, a partner, a social climber","a ladder, a father, a true gentleman, a trusted friend, an upgrade","to career success, from a ladder, to help people, of upward mobility, to help others, of a ladder, for assisting others, for helping people, with a true friend, for a true friend, to a true friend, from a true friend, of a true friend, with a trusted friend, for a trusted friend, to a trusted friend, from a trusted friend, of a trusted friend, for help, climbing the ladder, climbing down chimneys, climbing social ladders, painting church ceilings",stepping up,"promoting a supporter, a patron, a partner, a social climber a ladder, a father, a true gentleman, a trusted friend, an upgrade to career success, from a ladder, to help people, of upward mobility, to help others, of a ladder, for assisting others, for helping people, with a true friend, for a true friend, to a true friend, from a true friend, of a true friend, with a trusted friend, for a trusted friend, to a trusted friend, from a trusted friend, of a trusted friend, for help, climbing the ladder, climbing down chimneys, climbing social ladders, painting church ceilings"
purposeful,pose,,,,introducing,purposeful   
recruiting,pose,"a recruiter, a bureaucrat","a clipboard, a pencil, a questionnaire, a lead pencil","to collect data, holding a clipboard, recruiting disaffected youths","handshaking, shaking hands","recruiting a recruiter, a bureaucrat a clipboard, a pencil, a questionnaire, a lead pencil to collect data, holding a clipboard, recruiting disaffected youths"
stroking cat,pose,"a cat lover, an animal lover, a Bond villain, a camp villain, an evil genius, a super villain","a cat, a kitten, a tomcat, a pet cat, a constipated kitten, a strangled cat, of sleepy kittens, a sleepy kitten, a sleeping kitten, a newborn kitten, a fluffy kitten, a baby kitten, a pussy","of fuzzy kittens, of an alley cat, full of kittens, of drowned kittens, at a cat show, of camp, of kittens, full of cats, of cats, of newborn kittens, of cute kittens, of adorable kittens, playing camp villains",chuckling,"stroking cat a cat lover, an animal lover, a Bond villain, a camp villain, an evil genius, a super villain a cat, a kitten, a tomcat, a pet cat, a constipated kitten, a strangled cat, of sleepy kittens, a sleepy kitten, a sleeping kitten, a newborn kitten, a fluffy kitten, a baby kitten, a pussy of fuzzy kittens, of an alley cat, full of kittens, of drowned kittens, at a cat show, of camp, of kittens, full of cats, of cats, of newborn kittens, of cute kittens, of adorable kittens, playing camp villains"
saluting,pose,"a loyalist, a new recruit","a salute, loyalty, a duty","for the troops, of compliance, fawning on the boss, of follow the leader","towering, confident, commanding","saluting a loyalist, a new recruit a salute, loyalty, a duty for the troops, of compliance, fawning on the boss, of follow the leader"
minion,pose,"a minion, a lackey, an underling, a toady, a henchman, a hireling, a crony, a vassal, a pawn, a lap dog, a lapdog","a salute, absolute loyalty",of compliance,"towering, confident, commanding","minion a minion, a lackey, an underling, a toady, a henchman, a hireling, a crony, a vassal, a pawn, a lap dog, a lapdog a salute, absolute loyalty of compliance"
ironic,pose,"an ironist, a mocker, a wag, an actor, a cynic, a secret agent, a frenemy, a two-faced hypocrite, a false friend",a mask,"hiding behind a mask, behind a mask, for creative expression","chuckling, embarrassed, laughing","ironic an ironist, a mocker, a wag, an actor, a cynic, a secret agent, a frenemy, a two-faced hypocrite, a false friend a mask hiding behind a mask, behind a mask, for creative expression"
sculpting,pose,"a sculptor, an artist, a stonemason, a true artist","a statue, a sculpture, a chisel, the art, a carving, a modernist work, an original piece, a giant work, a classic work, a true work, an ice sculpture, the statue, the ancient art, a custom piece, a mannequin, a work, an embodiment, a renaissance man, an incarnation, a cultural icon, art","in the making, to artists everywhere, for artists, of art, of craftsmanship, of play doh, of Play Dough, of silly putty, of sculptures, for creating art, in the arts, of clay, of fine art, of a renaissance man, of remarkable ability, carving magnificent statues, making ice sculptures, making topiary sculptures, selling modern art",impressed,"sculpting a sculptor, an artist, a stonemason, a true artist a statue, a sculpture, a chisel, the art, a carving, a modernist work, an original piece, a giant work, a classic work, a true work, an ice sculpture, the statue, the ancient art, a custom piece, a mannequin, a work, an embodiment, a renaissance man, an incarnation, a cultural icon, art in the making, to artists everywhere, for artists, of art, of craftsmanship, of play doh, of Play Dough, of silly putty, of sculptures, for creating art, in the arts, of clay, of fine art, of a renaissance man, of remarkable ability, carving magnificent statues, making ice sculptures, making topiary sculptures, selling modern art"
serving,pose,"a servant, female:a waitress, a waiter, the life of the party","a tray, a hamburger, a burger, a cheeseburger, a barbecue, a whopper, an appetizer, a sandwich, a Big Mac, a provider, a true servant","for food lovers, of junk food, filled with delicious dishes, at Burger King, to be savored, at a restaurant, for dining out, for fine cuisine, for fine food, feeding the poor, flipping hamburgers, flipping hamburgers, frying crabby patties, promoting American values, running a fast-food business","drinking, sipping, hungry, slurping","serving a servant, female:a waitress, a waiter, the life of the party a tray, a hamburger, a burger, a cheeseburger, a barbecue, a whopper, an appetizer, a sandwich, a Big Mac, a provider, a true servant for food lovers, of junk food, filled with delicious dishes, at Burger King, to be savored, at a restaurant, for dining out, for fine cuisine, for fine food, feeding the poor, flipping hamburgers, flipping hamburgers, frying crabby patties, promoting American values, running a fast-food business"
serving dinner,pose,"a servant, female:a waitress, a waiter, a gourmand","a feast, a banquet, a cornucopia, a smorgasbord, a luxury, an overabundance, a spectacular feast, a buffet, a fiesta, the food court, a dinner date, a gourmet meal, a menu, a microwave, a larder, a grand feast, a grand banquet","for food lovers, of junk food, filled with delicious dishes, at the dinner table, of good food, for the palate, at a restaurant, during dinner, at a barbecue, at a fancy dinner, of gourmet goodies, of the feast, of culinary delights, at the Ritz, full of goodies, for fine dining, filled with goodies, of abundance, of fine food, arranging dinner parties, cooking dinners, cooking for friends, running a hotel, throwing lavish parties, at a buffet","drinking, sipping, hungry, slurping","serving dinner a servant, female:a waitress, a waiter, a gourmand a feast, a banquet, a cornucopia, a smorgasbord, a luxury, an overabundance, a spectacular feast, a buffet, a fiesta, the food court, a dinner date, a gourmet meal, a menu, a microwave, a larder, a grand feast, a grand banquet for food lovers, of junk food, filled with delicious dishes, at the dinner table, of good food, for the palate, at a restaurant, during dinner, at a barbecue, at a fancy dinner, of gourmet goodies, of the feast, of culinary delights, at the Ritz, full of goodies, for fine dining, filled with goodies, of abundance, of fine food, arranging dinner parties, cooking dinners, cooking for friends, running a hotel, throwing lavish parties, at a buffet"
